company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
Synergy Clothing Inc,82.4,,,,,,,,
Frank & Eileen,97.5,,,,,,,,
"Allbirds, Inc.",89.4,,,,,,,,
Bixbee,81.5,,,,,,,,
Solmate Socks,91.8,,,,,,,,
Accompany,87.8,,,,,,,,
Jelt,83.3,,,,,,,,
Textil del Valle,84.6,,,,,,,,
AMS Fulfillment,84.4,,,,,,,,
VIVOBAREFOOT,98.8,,,,,,,,
OluKai,80.5,,,,,,,,
Chilote Shoes,90.5,,,,,,,,
United By Blue,80.1,,,,,,,,
Vanhulley,84.0,,,,,,,,
Cotopaxi,93.6,,,,,,,,
Genestyle LTD,81.5,,,,,,,,
Good Threads,96.6,,,,,,,,
Enda Athletic Inc.,81.0,,,,,,,,
JoJo Maman Bebe,81.1,,,,,,,,
Oaklandish,83.7,,,,,,,,
Baabuk Sàrl,80.1,,,,,,,,
Arnsdorf,80.2,,,,,,,,
ChicoBag Company,114.5,,,,,,,,
Citizen Wolf Pty Ltd,100.1,,,,,,,,
Sudara Inc.,81.3,,,,,,,,
Another Tomorrow Inc.,80.3,,,,,,,,
Pala Eyewear,84.1,,,,,,,,
Handknits Pty Ltd,84.8,,,,,,,,
Karün,85.2,,,,,,,,
Looptworks,111.5,,,,,,,,
CRIDEM,102.5,,,,,,,,
Urbane & Gallant,83.8,,,,,,,,
Therafit Shoe,80.5,,,,,,,,
Grey Rock Clothing Co.,88.0,,,,,,,,
Outland Denim,111.5,,,,,,,,
VEJA,84.2,,,,,,,,
BONDI BORN,88.1,,,,,,,,
The Good Tee,88.0,,,,,,,,
Rifo S.r.l.,99.9,,,,,,,,
Bellroy,83.6,,,,,,,,
Lulea Mindful Athletes S.A.,105.7,,,,,,,,
tentree international,124.6,,,,,,,,
Textiles y Confecciones Eco Sustentables SpA,88.8,,,,,,,,
Flavia Aranha Comércio e Confecção EIRELI - ME,95.7,,,,,,,,
Kathmandu,82.2,,,,,,,30.0,
ABURY Collection,114.6,,,,,,,,
Reflect Studio,98.5,,,,,,,,
"ECOALF RECYCLED FABRICS, SL",81.8,,,,,,,,
Insecta Shoes,81.5,,,,,,,,
Barner,80.1,,,,,,,,
Duffle & Co,83.6,,,,,,,,
SAVE THE DUCK S.p.A.,95.0,,,,,,,,
Encircled,91.0,,,,,,,,
HELPSY,85.6,,,,,,,,
ABAHIZI DUSHYIGIKIRANE LTD.,112.7,,,,,,,,
Reserva,80.6,,,,,,,,
HowBottle,83.4,,,,,,,,
N'GO SHOES,98.8,,,,,,,,
Finisterre,80.8,,,,,,,,
Amor & Rosas,86.5,,,,,,,,
Las Polleras de Agus,87.1,,,,,,,,
Good Day Girl,93.8,,,,,,,,
LeDaveed,86.0,,,,,,,,
Bombas,89.2,,,,,,,,
KNOWN SUPPLY,86.9,,,,,,,,
Unbelts,89.6,,,,,,,,
VPL,103.5,,,,,,,,
Raven + Lily,104.9,,,,,,,,
Askov Finlayson,80.7,,,,,,,,
Wallaroo Hat Company,81.1,,,,,,,,
Kotn,95.5,,,,,,,,
Seams To Fit,91.6,,,,,,,,
Rose Buddha,90.9,,,,,,,,
Better World Fashion,100.7,,,,,,,,
The Good Store AS,87.6,,,,,,,,
Pela,80.3,,,,,,,,
"TS Designs, Inc.",80.7,,,,,,,,
Patagonia Works,151.4,,,,,,,,
Athleta,84.3,,,,,,,,
Australian Brands Alliance,83.3,,,,,,,,
Poppy Barley,92.9,,,,,,,,
Minka,91.7,,,,,,,,
WE-AR,94.3,,,,,,,,
Kozm Inc.,89.9,,,,,,,,
Vanessa Montoro,80.0,,,,,,,,
Thread Harvest,80.8,,,,,,,,
"Merge4 Mfg, Inc",98.0,,,,,,,,
hösėg,83.4,,,,,,,,
Nisolo,89.0,,,,,,,,
Jetty,82.9,,,,,,,,
Twine Fair Trade Company,88.0,,,,,,,,
Carla Fernández | Comercializadora de Diseño Flora SAPI de CV,81.9,,,,,,,,
Parker Clay,89.4,,,,,,,,
Riz Boardshorts Ltd,104.4,,,,,,,,
Saitex International,105.6,,,,,,,,
Beachgold,83.7,,,,,,,,
LUXTRA,91.9,,,,,,,,
Eco-Bags Products,91.3,,,,,,,,
Apolis Holdings LLC,82.7,,,,,,,,
Oliberte Limited,80.6,,,,,,,,
All The Wild Roses Pty Limited,106.9,,,,,,,,
Frank And Oak,81.7,,,,,,,,
PARAFINA CO.,85.9,,,,,,,,
Fair Bazaar,80.8,,,,,,,,
Dai,97.4,,,,,,,,
PAPA,82.2,,,,,,,,
Creative Action Network,113.1,,,,,,,,
Lantinga Vita Inc.,80.2,,,,,,,,
Sympatex Technologies GmbH,89.0,,,,,,,,
Karen Kane,85.3,,,,,,,,
Better Narrative Inc,84.9,,,,,,,,
Tribe Alive,81.4,,,,,,,,
BlueStar Marketing,83.4,,,,,,,,
bigtruck®,86.2,,,,,,,,
Bird,89.5,,,,,,,,
Paka,124.8,,,,,,,,
Etiko Pty Ltd,95.3,,,,,,,,
Someone Somewhere,100.8,,,,,,,,
Rowlinson Knitwear Limited,107.4,,,,,,,,
DA.AI Technology,88.7,,,,,,,,
Tuckerman & Co.,82.4,,,,,,,,
James&Co (Australia) Pty Ltd,81.1,,,,,,,,
Elvis & Kresse,90.3,,,,,,,,
Gallant International Inc.,86.7,,,,,,,,
Organic Basics,92.8,,,,,,,,
TOMS,96.3,,,,,,,,
Dhana Inc.,151.9,,,,,,,,
MUD Jeans International,124.7,,,,,,,,
"Eileen Fisher, Inc.",96.2,,,,,,,,
Little Yellow Bird,115.5,,,,,,,,
MOVIN,143.7,,,,,,,,
Sword & Plough,89.5,,,,,,,,
INDIGENOUS Impact Fashion,96.0,,,,,,,,
Totebag SRL,82.2,,,,,,,,
BORDECHI,89.3,,,,,,,,
Heidi.com,85.0,,,,,,,,
"Atayne, LLC",141.8,,,,,,,,
Dansko,99.4,,,,,,,,
Musuchouse,91.8,,,,,,,,
The Sox Box,81.2,,,,,,,,
Stay True Clothing,117.3,,,,,,,,
"Icebox Knitting, LLC",92.6,,,,,,,,
Yellow108,84.2,,,,,,,,
Rhyme&Reason Clothing,81.9,,,,,,,,
therethere,83.3,,,,,,,,
Between the Sheets Inc.,86.6,,,,,,,,
Onda Organica,80.3,,,,,,,,
The Big Blue Bike,107.0,,,,,,,,
Alchemy Goods,87.4,,,,,,,,
IZZY,86.2,,,,,,,,
Peruvian Imports,80.9,,,,,,,,
Reformation,100.0,,,,,,,,
Oishi-m,83.8,,,,,,,,
Hamilton Perkins Collection,118.4,,,,,,,,
"Good Cloth, LLC",84.4,,,,,,,,
PACT Apparel,83.9,,,,,,,,
SLOWCOLOR,128.9,,,,,,,,
FIGS,116.2,,,,,,,,
VOZ Diseño y Exportaciones SPA,82.9,,,,,,,,
Project Repat,125.1,,,,,,,,
Cubreme,88.8,,,,,,,,
No One Without,93.5,,,,,,,,
Temple Flower,87.3,,,,,,,,
Vedante Corp,91.0,,,,,,,,
MAONO,80.1,,,,,,,,
PIMALPAKA SAC,80.9,,,,,,,,
"Chopwood, LLC",80.4,,,,,,,,
Kusaga Athletic,89.2,,,,,,,,
GoLite - Original,113.5,,,,,,,,
eneache sa,104.5,,,,,,,,
Teysha Social Enterprises,80.7,,,,,,,,
The Natural Baby Company,83.7,,,,,,,,
be,110.3,,,,,,,,
Gazelle Sports,90.5,,,,,,,,
The Root Collective,109.5,,,,,,,,
Xinca,97.7,,,,,,,,
Kitts,90.5,,,,,,,,
Contemporary-Craft,83.7,,,,,,,,
OORR,125.5,,,,,,,,
Moonbird Designs Pty Ltd,87.2,,,,,,,,
Threads 4 Thought,92.7,,,,,,,,
Little Bean Sprout,119.5,,,,,,,,
"Lateral Line, Inc.",85.8,,,,,,,,
Feelgoodz LLC,80.1,,,,,,,,
SUCCESSORI REDA SPA,80.2,,,,,,,,
 Adidas AG ,,1.0,,,,,,,
Aquitex S.A. ,,1.0,,,,,,,
Arc'teryx ,,1.0,,,,,,,
Burberry ,,1.0,,,,,,,
Esprit ,,1.0,,,,,,,
Gap Inc. ,,1.0,,,,,,,
Guess?,,1.0,,,,,,,
Inc. ,,1.0,,,,,,,
Inc. ,,1.0,,,,,,,
Hakro GmbH ,,1.0,,,,,,,
H&M group ,,1.0,,,,,,,
Hugo Boss AG ,,1.0,,,,,,,
Inditex ,,1.0,,,,,,,
Kering Group  ,,1.0,,,,,,,
Lenzing AG ,,1.0,,,,,,,
Levi Strauss & Co ,,1.0,,,,,,,
A. P. Møller-Mærsk A/S ,,1.0,,,,,,,
Mammut sports Group AG ,,1.0,,,,,,,
Mantis World ,,1.0,,,,,,,
Otto Group  ,,1.0,,,,,,,
Peak Performance Production AB ,,1.0,,,,,,,
PVH Corp ,,1.0,,,,,,,
PIDIGI S.P.A. ,,1.0,,,,,,,
PUMA SE ,,1.0,,,,,,,
Re:newcell AB ,,1.0,,,,,,,
Salomon ,,1.0,,,,,,,
Schoeller Texti AG ,,1.0,,,,,,,
SKFK-Skunkfunk ,,1.0,,,,,,,
SLN Tekstil ve Moda San. Tic. A.Ş  ,,1.0,,,,,,,
Stella McCartney ,,1.0,,,,,,,
Sympatex Technologies GmbH ,,1.0,,,,,,,
Target Corporation ,,1.0,,,,,,,
Tropic Knits Ltd ,,1.0,,,,,,,
Evea Eco Fashion ,,1.0,,,,,,,
LIMY Inc dba Reformation ,,1.0,,,,,,,
DBL Group ,,1.0,,,,,,,
Worn Again ,,1.0,,,,,,,
BerBrand Srl ,,1.0,,,,,,,
Denim Expert  Limited ,,1.0,,,,,,,
Textil Santanderina,,1.0,,,,,,,
S.A. ,,1.0,,,,,,,
S.A. ,,1.0,,,,,,,
COFREET ,,1.0,,,,,,,
VF Corporation ,,1.0,,,,,,,
GANNI ,,1.0,,,,,,,
GANT AB ,,1.0,,,,,,,
Regatta Group ,,1.0,,,,,,,
New Balance Athletics,,1.0,,,,,,,
TINTEX Textiles,,1.0,,,,,,,
Vivida Lifestyle Ltd ,,1.0,,,,,,,
NIKE,,1.0,,,,,,,1.0
Inc ,,1.0,,,,,,,
The RealReal ,,1.0,,,,,,,
Fenix Outdoor International AG ,,1.0,,,,,,,
Pattern SpA. ,,1.0,,,,,,,
DECATHLON ,,1.0,,,,,,,
Circular Systems SPC ,,1.0,,,,,,,
Loomstate ,,1.0,,,,,,,
G-Star RAW C.V. ,,1.0,,,,,,,
Hansoll Textile Ltd. ,,1.0,,,,,,,
KiK Textilien und Non-Food GmbH  ,,1.0,,,,,,,
John Smedley Ltd ,,1.0,,,,,,,
Anko ,,1.0,,,,,,,
Target Australia ,,1.0,,,,,,,
Kmart Australia Limited ,,1.0,,,,,,,
ASICS Corporation ,,1.0,,,,,,,
El Corte Inglés,,1.0,,,,,,28.0,
SA. ,,1.0,,,,,,,
Farfetch ,,1.0,,,,,,,
Lever Style Inc.  ,,1.0,,,,,,,
Hop Lun ,,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
China),,1.0,,,,,,,
CAPRANEA SPORTS AG  ,,1.0,,,,,,,
Hong Kong Non-Woven Fabric Ind. Co. Ltd.  ,,1.0,,,,,,,
American & Efird ,,1.0,,,,,,,
Clover Group International Ltd ,,1.0,,,,,,,
Hanbo Enterprises Ltd. ,,1.0,,,,,,,
Pinneco Research Ltd. ,,1.0,,,,,,,
TAL Apparel Ltd. ,,1.0,,,,,,,
K-Boxing  ,,1.0,,,,,,,
Chenfeng Group Co.,,1.0,,,,,,,
Ltd ,,1.0,,,,,,,
The Schneider Group ,,1.0,,,,,,,
RT Knits Ltd  ,,1.0,,,,,,,
