firstname,company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
a.,a. p. møller-mærsk a/s,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abahizi,abahizi dushyigikirane ltd.,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abercrombie,abercrombie & fitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
about,about you,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
abury,abury collection,114.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accompany,accompany,87.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acne,acne studios,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
adidas,adidas,0.0,1.0,1.0,0.0,0.0,1.0,1.0,69.0,1.0
adidas-group,adidas-group,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aeropostale,aeropostale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
ahlens,ahlens ab,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aigle,aigle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
air,air & grace,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airwair,airwair international limited,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
alchemia,alchemia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
alchemy,alchemy goods,87.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aldi,aldi einkauf gmbh & co. ohg (aldi nord),0.0,0.0,0.0,0.0,2.0,0.0,2.0,55.0,0.0
aldo,aldo,0.0,1.0,0.0,0.0,1.0,0.0,1.0,17.0,1.0
alice,alice cooperativa sociale,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
all,all the wild roses pty limited,106.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"allbirds,","allbirds, inc.",89.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude,"altitude collection, llc",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
altromercato,altromercato impresa sociale soc. coop.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
amalfi,amalfi belts srl,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
amandla,amandla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
amazon,amazon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0
amer,amer sports sourcing limited,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
amer-sports,amer-sports,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
american,american & efird,0.0,2.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0
amor,amor & rosas,86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ams,ams fulfillment,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anko,anko,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
another,another tomorrow inc.,80.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anta,anta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
