company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact,DottyRank
a. p. møller-mærsk a/s,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
abahizi dushyigikirane ltd.,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
abercrombie & fitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0
about you,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
abury collection,114.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
accompany,87.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
acne studios,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
adidas,0.0,1.0,1.0,0.0,0.0,1.0,1.0,69.0,1.0,6
adidas-group,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
aeropostale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0
ahlens ab,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
aigle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
air & grace,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
airwair international limited,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
alchemia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
alchemy goods,87.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
aldi einkauf gmbh & co. ohg (aldi nord),0.0,0.0,0.0,0.0,2.0,0.0,2.0,55.0,0.0,2
aldo,0.0,1.0,0.0,0.0,1.0,0.0,1.0,17.0,1.0,1
alice cooperativa sociale,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
all the wild roses pty limited,106.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"allbirds, inc.",89.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"altitude collection, llc",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
altromercato impresa sociale soc. coop.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
amalfi belts srl,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
amandla,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
amazon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0
amer sports sourcing limited,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
amer-sports,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
american & efird,0.0,2.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0
amor & rosas,86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
ams fulfillment,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
anko,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
another tomorrow inc.,80.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
anta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0
anthropologie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0
antigua-group-inc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
apolis holdings llc,82.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
aqc,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
aquitex s.a.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
arc'teryx,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
arena-group,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
arge weltläden,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
ariat international inc,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
aritzia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0
armada,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
armani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0
arnsdorf,80.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
artisan life,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
artistic milliners,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
asda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2
asia pacific rayon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
asics,0.0,1.0,0.0,0.0,1.0,1.0,1.0,45.0,1.0,4
askov finlayson,80.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
askul corporation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
asos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,0.0,2
aspinal of london,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
associazione botteghe del mondo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
"atayne, llc",141.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
athleta,84.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
atlas-schuhfabrik gmbh & co,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
atomic gmbh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
au-delà des frontières,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
auchan retail,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
australian brands alliance,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
axel arigato ab,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
ba&sh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
baabuk sàrl,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
balenciaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,2
bally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
banana republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2
bared trading pty ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
