company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
a. p. møller-mærsk a/s,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abahizi dushyigikirane ltd.,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abercrombie & fitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
about you,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
about you gmbh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
abury collection,114.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accompany,87.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acne studios,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
adidas,0.0,0.0,1.0,0.0,0.0,1.0,0.0,69.0,1.0
adidas ag,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
adidas-group,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aeropostale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
ahlens ab,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aigle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
air & grace,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
airwair international limited,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
alchemia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
alchemy goods,87.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aldi einkauf gmbh & co. ohg (aldi nord),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
aldi nord,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0
aldi south,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
aldi south group,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
aldi sãd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aldo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
aldo group,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
