,0
0,adidas
1,amer-sports
2,antigua-group-inc
3,arena-group
4,barnes-noble-college-booksellers
5,bella-canvas
6,burton
7,colosseum
8,cutter-buck-inc
9,fall-rush
10,fanatics
11,fast-retailing
12,fenix-outdoor
13,fgv-holdings
14,follett-higher-education-group
15,forty-seven-brand
16,fruit-loom
17,gildan-activewear-inc
18,gore-wear
19,gymshark
20,hanesbrands
21,hugo-boss
22,hybrid-apparel
23,j-america-inc
24,kathmandu
25,l2-brands
26,lakeshirts-inc
27,lululemon
28,mountain-equipment-co-op
29,mv-sport-game-inc
30,nestle
31,new-balance-athletics-inc
32,new-era-cap-co-inc
33,nike-inc
34,olam
35,outerknown
36,outerstuff-ltd
37,patagonia
38,popsockets
39,prana
40,puma-se
41,sanmar-corporation
42,sitka-group
43,gore-wear
44,syngenta
45,soliver-group
46,toms-shoes
47,top-world-llc
48,under-armour
49,volcom-llc
50,zephyr-graf-x
