,0
0,About You GmbH
1,Acne Studios
2,adidas-group
3,Ahlens AB
4,Air & Grace
5,Airwair International Limited
6,ALDI Nord
7,ALDI SÃD
8,ALDO Group International AG
9,Amalfi Belts SRL
10,AQC
11,Ariat International Inc
12,Asics Corporation
13,asos
14,Aspinal of London 
15,ATLAS-Schuhfabrik GmbH & Co
16,Axel Arigato AB
17,BA&SH
18,Bared Trading Pty Ltd
19,Bellroy Pty Ltd
20,Bestpol Sp Zo.o
21,Bevaform Service & Handels GmbH
22,Blue Star 
23,Blundstone Australia Pty Ltd
24,BPS Overseas (P) Ltd
25,Braloba Group
26,Brand Collective Australia
27,Bronx Fashion B.V
28,Burberry
29,BY MALENE BIRGER A/S
30,Caleres
31,Calvin Klein
32,Camper (Biniaraix Manufacturing S.L.)
33,Capri Holdings Ltd.
34,Castelijn & Beerens BV
35,Chloe
36,Clarks International Limited
37,CLIC!
38,Coingasa
39,Cole Haan 
40,Collections International 
41,Country Road Group
42,CUE Clothing Co.
43,Decjuba Pty Ltd
44,Deckers Outdoor Corporation
45,Deichmann SE
46,DEMOD DERI KONFEKSIYON LTD. STI.
47,Design Nave Co.
48,DK Company A/S 
49,Eileen Fisher
50,Ekornes AS
51,FatFace
52,Florsheim Shoes
53,Fossil Group
54,Gabriela Hearst
55,Gant AB
56,Gebra Nonfood Handels GmbH & Co Kg
57,Georg A.Steinmann GmbH Co.KG
58,GEOX SpA
59,Greylab Footwear BV
60,GROUPE ERAM
61,Haglofs Scandinavia AB
62,Hestra
63,Hirsch ArmbÃ¤nder GmbH
64,"HOFF BRAND, S.L "
65,Hotter
66,Hugo Boss AG
67,Hultafors Group AB
68,Hush Homewear Ltd
69,I.C.D.A
70,IC Group A/S
71,IKEA
72,IKKS Group SAS
73,Inditex S.A.
74,J Barbour and Sons Ltd
75,J Crew Group Inc 
76,J P Boden & Co Ltd
77,Jacobson Group
78,John Lewis Plc
79,Joules Ltd
80,Kamik
81,Kathmandu Limited
82,"KEEN, Inc."
83,Kingfisher International Products Limited 
84,Kwun Kee Leather Watch Straps Mfy. Ltd.
85,La Redoute
86,Lapelle SRL
87,Last Studio
88,Leonhard Heyden
89,Les Deux Aps
90,LIDL Stiftung & Co KG
91,Longchamp
92,LVMH - Moet Hennessy Louis Vuitton
93,Maisons Du Monde
94,Malone Souliers (World Wide Shoes LLP)
95,Marc O'Polo AG
96,Marine Leather (Margu S.R.L)
97,Markberg ApS
98,Marks & Spencer plc
99,Micro Verkoop B.V (Micro Fashion) 
100,Minelli
101,Mulberry Company (Design) Ltd
102,"New Balance Athletics, Inc."
103,Next Retail Ltd 
104,NIKE Inc
105,Nunn Bush
106,Orjin Deri Konfeksiyon San Ve Tic A.S
107,Panama Jack SLU
108,Pellami Due C SpA
109,Pentland Brands plc
110,Pieles Quintana S.A
111,"Pikolinos Intercontinental, S.A"
112,Primark
113,Puma SE
114,Quimser SA
115,Ralph Lauren Corporation
116,RE. PI. CO S.p.A
117,Ricosta Schuhfabriken GmbH
118,Royal RepubliQ- RepubliQ ApS
119,SamsÃe SamsÃe
120,Seasalt Limited
121,Sezane 
122,SHG Schuster Handelsgesellschaft mbH & CO KG
123,Simon Li Furniture
124,Smaak Retail BV 
125,SSS Silva Santos & Silva Lda
126,Stacy Adams Shoe Company
127,Sued Mod Dericilik San. Ve Tic. Ltd. Sti.
128,Tapestry Inc
129,Target Corporation
130,Ted Baker PLC
131,The Iconic
132,The Rockport Group
133,The Sak
134,Tiger of Sweden
135,Timberland LLC
136,Tommy Hilfiger
137,"TOMS Shoes, LLC"
138,Toral
139,Tory Burch
140,TOUS & TOUS COMPLEMENTS SLU
141,Under Armour 
142,Vagabond Shoemakers
143,VBL Innovations Pvt. Limited
144,VEJA Fair Trade S.A.R.L
145,Veronika Maine 
146,VF Corporation
147,VIZYON LEATHERWEAR
148,VSP
149,WE Europe BV
150,WHL
151,Williams-Sonoma Inc
152,Wittner
153,Wolverine World Wide Inc
154,Woolworths
155,Wortmann Schuh-Holding KG
156,Zalando SE
