Company Name,Country
adidas,Germany
"Altitude Collection, LLC",USA
Amer Sports Sourcing Limited,Finland
Arc'teryx Equipment Inc.,Canada
Armada,USA
ASICS Corporation,Japan
Atomic GmbH,Austria
Bergans Fritid AS,Norway
Berghaus Ltd.,United Kingdom
"Brooks Sports, Inc.",USA
CamelBak,USA
Canada Goose Inc.,Canada
Columbia Sportswear Company,USA
ComforTrust.ch AG,Switzerland
Coocazoo,Germany
Craghoppers Ltd.,United Kingdom
DeMarini Sports (Amer Sports),USA
Deuter Sport GmbH & Co. KG,Germany
Eagle Creek,USA
"Eagles Nest Outfitters, Inc. (ENO)",USA
"Eddie Bauer, LLC",USA
Edelrid GmbH Co. KG,Germany
Eileen Fisher Inc.,USA
engelbert strauss GmbH & Co. KG,Germany
Everlane,USA
Faherty Brands,USA
FOND OF GmbH,Germany
GCL GmbH,Germany
Georg A. Steinmann GmbH & Co. KG,Germany
HABA Sales GmbH & Co. KG,Germany
Haglöfs AB,Sweden
Halti Oy,Finland
Helly Hansen ASA,Norway
Houdini Sportswear AB,Sweden
Isbjörn of Sweden,Sweden
Company Name,Country
ITL Intelligent Textile Logistics GmbH,Germany
JACK WOLFSKIN,Germany
James & Co (Australia) Pvt Ltd,Australia
Kathmandu Holdings Ltd.,New Zealand
Klättermusen AB,Sweden
"L. L. Bean, Inc.",USA
"Lands' End, Inc.",USA
La Sportiva S.p.A.,Italy
lululemon athletica canada inc.,Canada
Majuco GmbH,Austria
Maloja Clothing GmbH,Germany
Mammut Sports Group,Switzerland
MEC Mountain Equipment Company Ltd.,Canada
Mey GmbH & Co.KG und Mey Herrenwäsche GmbH & Co.KG,Germany
"Migros-Genossenschafts-Bund, Abt. SportXX",Switzerland
"Mountain Hardwear, Inc.",USA
"NEMO Equipment, Inc.",USA
"Nike, Inc.",USA
Non-stop Dogwear AS / Non-stop Polar AS,Norway
Norrøna Sports AS,Norway
OBERALP-SALEWA GROUP,Italy
"Osprey Packs, Inc.",USA
"Outdoor Research, LLC",USA
"Outerknown, LLC",USA
Patagonia Inc.,USA
Peak Design,USA
Peak Performance Production AB,Sweden
"prAna Living, LLC",USA
Puma SE,Germany
R.E.I. Recreational Equipment Inc.,USA
Reima Oy,Finland
RHONE,USA
"Royal Robbins, LLC",USA
"Ruffwear, Inc.",USA
Salomon S.A.S.,France
Schöffel Sportbekleidung GmbH,Germany
Skogstad Sport AS,Norway
Star-Tags Textilimport- und Merchandising GmbH,Germany
Step by Step,Germany
The Burton Corporation,USA
The North Face Inc.,USA
Thule Group,Sweden
VAUDE Sport GmbH & Co. KG,Germany
Wilson Sporting Goods Co.,USA
Wolford AG,Austria
