brand,fti_2020
H&M (H&M Group),73
C&A,70
Adidas,69
Reebok,69
Esprit,64
Marks & Spencer,60
Patagonia,60
The North Face,59
Timberland,59
Vans,59
Wrangler,59
Puma,57
ASOS,55
Converse,55
Jordan,55
Nike,55
United Colors of Benetton,55
Calvin Klein,54
Tommy Hilfiger,54
Van Heusen,54
Banana Republic,50
Gap,50
Old Navy,50
Lindex,50
Gildan,49
G-Star RAW,49
Dressmann,48
Gucci,48
Levi Strauss & Co,48
New Balance,48
Tchibo,48
Sainsbury’s-TU Clothing,47
Balenciaga,47
SAINT LAURENT,47
Bottega Veneta,46
ASICS,46
Lululemon,46
Bershka,44
Massimo Dutti,44
Pull&Bear,44
Stradivarius,44
Zara,44
Bonprix,43
New Look,43
Tesco,43
Debenhams,41
Hugo Boss,41
Clarks,40
Monsoon,40
Uniqlo,40
Champion,39
Hanes,39
Zalando,39
Primark,38
Topman,38
Topshop,38
Target,37
Burberry,36
Next,36
Russell Athletic,36
Helly Hansen,35
OVS,35
Asda,34
HEMA,34
Speedo,34
The Warehouse,34
Hermès,33
Kmart Australia,33
Target Australia,33
Fjällräven,31
Mammut,31
Morrisons,31
ALDI SOUTH,30
Big W,30
John Lewis,30
Kathmandu,30
Vero Moda,30
Jack & Jones,30
Under Armour,29
Columbia Sportswear,28
El Corte Inglés,28
Very,28
Walmart,28
Ermenegildo Zegna,27
Lidl,27
Mizuno,27
Ralph Lauren,27
LOFT,26
CELINE,26
Dior,26
Louis Vuitton,26
Fendi,25
Marc Jacobs,25
Abercrombie & Fitch,25
Hollister Co.,25
ALDI Nord,25
Amazon,25
Brooks Sport,25
Cotton On,25
Lacoste,25
Prisma,25
Zeeman,25
Decathlon,23
Disney,23
REI,23
Ted Baker,23
Mango,22
Monoprix,22
Nordstrom,22
River Island,22
Free people,21
Ito-Yokado,21
Salvatore Ferragamo,21
Victoria's Secret,21
Anthropologie,20
Urban Outfitters,20
Carrefour,20
Chloé,20
Otto,20
Superdry,20
Tod's,20
COACH,19
Kate Spade,19
GUESS,19
Hudson's Bay,19
Saks Fifth Avenue,19
Lands' End,19
Moncler,19
Reserved,19
TOPVALU COLLECTION,19
Woolworths South Africa,19
KiK,18
Kaufland,18
Kmart,18
Matalan,18
Miu Miu,18
Prada,18
Pimkie,18
Tom Tailor,18
ALDO,17
American Eagle,17
Desigual,17
Falabella,17
UGG,17
Aritzia,16
Bloomingdale's,16
Macy's,16
Cortefiel,16
Dick's Sporting Goods,16
JD Sports,16
Kohl's,16
MRP,16
s.Oliver,16
Costco,15
Fanatics,15
JCPenney,15
Li-Ning,15
TJ Maxx,15
Truworths,15
Burlington,14
CAROLL,14
Foschini,14
J.Crew,14
Calzedonia,13
Intimissimi,13
Tezenis,13
Fossil,13
Joe Fresh,13
Carolina Herrera,12
Chico's,12
Reliance Trends,12
Takko,12
Brunello Cucinelli,11
Chanel,11
Diesel,11
Marni,11
La Redoute,11
Merrell,11
Sandro,11
Buckle,10
Dillards,10
Dr. Martens,10
DSW,10
Furla,10
Gerry Weber,10
Muji,10
Steve Madden,10
Triumph,10
Valentino,10
Armani,9
boohoo,9
PrettyLittleThing,9
Famous Footwear,9
The Children's Place,9
ANTA,8
Beanpole,8
Cole Haan,8
Express,8
Fila,8
Michael Kors,8
Ross Dress for Less,8
Skechers,8
Tommy Bahama,8
Bosideng,7
Foot Locker,7
Forever 21,7
New York & Company,7
United Arrows,7
Carhartt,6
Jil Sander,6
K-Way,6
LL Bean,6
Neiman Marcus,6
Sports Direct,6
Versace,6
Brooks Brothers,5
Cato Fashions,5
Claire's,5
Eddie Bauer,5
Aeropostale,4
Canada Goose,4
Jockey,4
Justfab,4
Tory Burch,4
BCBGMAXAZRIA,3
Billabong,3
Quicksilver,3
Roxy,3
Dolce & Gabbana,3
Longchamp,3
Nine West,3
Diane Von Furstenberg,2
DKNY,2
Fashion Nova,2
KOOVS,2
REVOLVE,2
Big Bazaar - ffb,1
celio,1
Metersbonwe,1
New Yorker,1
Bally,0
Belle,0
Elie Tahari,0
Heilan Home,0
Jessica Simpson,0
Max Mara,0
Mexx,0
Pepe Jeans,0
Tom Ford,0
Youngor,0
